"name","url","effect"
"thermal-exchange","https://pokeapi.co/api/v2/ability/270/","Boosts the Attack stat when the Pokémon is hit by a Fire-type move. The Pokémon also cannot be burned."
"anger-shell","https://pokeapi.co/api/v2/ability/271/","When an attack causes its HP to drop to half or less, the Pokémon gets angry. This lowers its Defense and Sp. Def stats but boosts its Attack, Sp. Atk, and Speed stats."
"purifying-salt","https://pokeapi.co/api/v2/ability/272/","The Pokémon’s pure salt protects it from status conditions and halves the damage taken from Ghost-type moves."
"well-baked-body","https://pokeapi.co/api/v2/ability/273/","The Pokémon takes no damage when hit by Fire-type moves. Instead, its Defense stat is sharply boosted."
"wind-rider","https://pokeapi.co/api/v2/ability/274/","Boosts the Pokémon’s Attack stat if Tailwind takes effect or if the Pokémon is hit by a wind move. The Pokémon also takes no damage from wind moves."
"guard-dog","https://pokeapi.co/api/v2/ability/275/","Boosts the Pokémon’s Attack stat if intimidated. Moves and items that would force the Pokémon to switch out also fail to work."
"rocky-payload","https://pokeapi.co/api/v2/ability/276/","Increases the power of Rock-type moves used by this Pokémon by 50%."
"wind-power","https://pokeapi.co/api/v2/ability/277/","The Pokémon becomes charged when it is hit by a wind move, boosting the power of the next Electric-type move the Pokémon uses."
"zero-to-hero","https://pokeapi.co/api/v2/ability/278/","The Pokémon transforms into its Hero Form when it switches out."
"commander","https://pokeapi.co/api/v2/ability/279/","When the Pokémon enters a battle, it goes inside the mouth of an ally Dondozo if one is on the field. The Pokémon then issues commands from there."
"electromorphosis","https://pokeapi.co/api/v2/ability/280/","The Pokémon becomes charged when it takes damage, boosting the power of the next Electric-type move the Pokémon uses."
"protosynthesis","https://pokeapi.co/api/v2/ability/281/","Boosts the Pokémon’s most proficient stat in harsh sunlight or if the Pokémon is holding Booster Energy."
"quark-drive","https://pokeapi.co/api/v2/ability/282/","Boosts the Pokémon’s most proficient stat on Electric Terrain or if the Pokémon is holding Booster Energy."
"good-as-gold","https://pokeapi.co/api/v2/ability/283/","A body of pure, solid gold gives the Pokémon full immunity to other Pokémon’s status moves."
"vessel-of-ruin","https://pokeapi.co/api/v2/ability/284/","The power of the Pokémon’s ruinous vessel lowers the Sp. Atk stats of all Pokémon except itself."
"sword-of-ruin","https://pokeapi.co/api/v2/ability/285/","The power of the Pokémon’s ruinous sword lowers the Defense stats of all Pokémon except itself."
"tablets-of-ruin","https://pokeapi.co/api/v2/ability/286/","The power of the Pokémon’s ruinous wooden tablets lowers the Attack stats of all Pokémon except itself."
"beads-of-ruin","https://pokeapi.co/api/v2/ability/287/","The power of the Pokémon’s ruinous beads lowers the Sp. Def stats of all Pokémon except itself."
"orichalcum-pulse","https://pokeapi.co/api/v2/ability/288/","Turns the sunlight harsh when the Pokémon enters a battle. The ancient pulse thrumming through the Pokémon also boosts its Attack stat in harsh sunlight."
"hadron-engine","https://pokeapi.co/api/v2/ability/289/","Turns the ground into Electric Terrain when the Pokémon enters a battle. The futuristic engine within the Pokémon also boosts its Sp. Atk stat on Electric Terrain."
"opportunist","https://pokeapi.co/api/v2/ability/290/","If an opponent’s stat is boosted, the Pokémon seizes the opportunity to boost the same stat for itself."
"cud-chew","https://pokeapi.co/api/v2/ability/291/","When the Pokémon eats a Berry, it will regurgitate that Berry at the end of the next turn and eat it one more time."
"sharpness","https://pokeapi.co/api/v2/ability/292/","Increases the power of all 'slicing' moves by 50%."
"supreme-overlord","https://pokeapi.co/api/v2/ability/293/","When the Pokémon enters a battle, its Attack and Sp. Atk stats are slightly boosted for each of the allies in its party that have already been defeated."
"costar","https://pokeapi.co/api/v2/ability/294/","When the Pokémon enters a battle, it copies an ally’s stat changes."
"toxic-debris","https://pokeapi.co/api/v2/ability/295/","Scatters poison spikes at the feet of the opposing team when the Pokémon takes damage from physical moves."
"armor-tail","https://pokeapi.co/api/v2/ability/296/","The mysterious tail covering the Pokémon’s head makes opponents unable to use priority moves against the Pokémon or its allies."
"earth-eater","https://pokeapi.co/api/v2/ability/297/","If hit by a Ground-type move, the Pokémon has its HP restored instead of taking damage."
"mycelium-might","https://pokeapi.co/api/v2/ability/298/","The Pokémon will always act more slowly when using status moves, but these moves will be unimpeded by the Ability of the target."
"minds-eye","https://pokeapi.co/api/v2/ability/299/","Mind's Eye enables the Pokémon with this Ability to hit Ghost-type Pokémon with damage-dealing Normal- and Fighting-type moves. It also prevents other Pokémon from lowering the Pokémon's accuracy and ignores changes to the opponents' evasion."
"supersweet-syrup","https://pokeapi.co/api/v2/ability/300/","A sickly sweet scent spreads across the field the first time the Pokémon enters a battle, lowering the evasiveness of opposing Pokémon."
"hospitality","https://pokeapi.co/api/v2/ability/301/","When the Pokémon enters a battle, it showers its ally with hospitality, restoring a small amount of the ally's HP."
"toxic-chain","https://pokeapi.co/api/v2/ability/302/","The power of the Pokémon's toxic chain may badly poison any target the Pokémon hits with a move."
"embody-aspect","https://pokeapi.co/api/v2/ability/303/","Embody Aspect boosts a particular stat, depending on the form of a Terastallized Ogerpon"
"tera-shift","https://pokeapi.co/api/v2/ability/304/","When the Pokémon enters a battle, it absorbs the energy around itself and transforms into its Terastal Form."
"tera-shell","https://pokeapi.co/api/v2/ability/305/","The Pokémon’s shell contains the powers of each type. All damage-dealing moves that hit the Pokémon when its HP is full will not be very effective."
"teraform-zero","https://pokeapi.co/api/v2/ability/306/","When Terapagos changes into its Stellar Form, it uses its hidden powers to eliminate all effects of weather and terrain, reducing them to zero."
"poison-puppeteer","https://pokeapi.co/api/v2/ability/307/","When a Pokémon is poisoned by any of Pecharunt's moves, it will also become confused."
"mountaineer","https://pokeapi.co/api/v2/ability/10001/",""
"wave-rider","https://pokeapi.co/api/v2/ability/10002/",""
"skater","https://pokeapi.co/api/v2/ability/10003/",""
"thrust","https://pokeapi.co/api/v2/ability/10004/",""
"perception","https://pokeapi.co/api/v2/ability/10005/",""
"parry","https://pokeapi.co/api/v2/ability/10006/",""
"instinct","https://pokeapi.co/api/v2/ability/10007/",""
"dodge","https://pokeapi.co/api/v2/ability/10008/",""
"jagged-edge","https://pokeapi.co/api/v2/ability/10009/",""
"frostbite","https://pokeapi.co/api/v2/ability/10010/",""
"tenacity","https://pokeapi.co/api/v2/ability/10011/",""
"pride","https://pokeapi.co/api/v2/ability/10012/",""
"deep-sleep","https://pokeapi.co/api/v2/ability/10013/",""
"power-nap","https://pokeapi.co/api/v2/ability/10014/",""
"spirit","https://pokeapi.co/api/v2/ability/10015/",""
"warm-blanket","https://pokeapi.co/api/v2/ability/10016/",""
"gulp","https://pokeapi.co/api/v2/ability/10017/",""
"herbivore","https://pokeapi.co/api/v2/ability/10018/",""
"sandpit","https://pokeapi.co/api/v2/ability/10019/",""
"hot-blooded","https://pokeapi.co/api/v2/ability/10020/",""
"medic","https://pokeapi.co/api/v2/ability/10021/",""
"life-force","https://pokeapi.co/api/v2/ability/10022/",""
"lunchbox","https://pokeapi.co/api/v2/ability/10023/",""
"nurse","https://pokeapi.co/api/v2/ability/10024/",""
"melee","https://pokeapi.co/api/v2/ability/10025/",""
"sponge","https://pokeapi.co/api/v2/ability/10026/",""
"bodyguard","https://pokeapi.co/api/v2/ability/10027/",""
"hero","https://pokeapi.co/api/v2/ability/10028/",""
"last-bastion","https://pokeapi.co/api/v2/ability/10029/",""
"stealth","https://pokeapi.co/api/v2/ability/10030/",""
"vanguard","https://pokeapi.co/api/v2/ability/10031/",""
"nomad","https://pokeapi.co/api/v2/ability/10032/",""
"sequence","https://pokeapi.co/api/v2/ability/10033/",""
"grass-cloak","https://pokeapi.co/api/v2/ability/10034/",""
"celebrate","https://pokeapi.co/api/v2/ability/10035/",""
"lullaby","https://pokeapi.co/api/v2/ability/10036/",""
"calming","https://pokeapi.co/api/v2/ability/10037/",""
"daze","https://pokeapi.co/api/v2/ability/10038/",""
"frighten","https://pokeapi.co/api/v2/ability/10039/",""
"interference","https://pokeapi.co/api/v2/ability/10040/",""
"mood-maker","https://pokeapi.co/api/v2/ability/10041/",""
"confidence","https://pokeapi.co/api/v2/ability/10042/",""
"fortune","https://pokeapi.co/api/v2/ability/10043/",""
"bonanza","https://pokeapi.co/api/v2/ability/10044/",""
"explode","https://pokeapi.co/api/v2/ability/10045/",""
"omnipotent","https://pokeapi.co/api/v2/ability/10046/",""
"share","https://pokeapi.co/api/v2/ability/10047/",""
"black-hole","https://pokeapi.co/api/v2/ability/10048/",""
"shadow-dash","https://pokeapi.co/api/v2/ability/10049/",""
"sprint","https://pokeapi.co/api/v2/ability/10050/",""
"disgust","https://pokeapi.co/api/v2/ability/10051/",""
"high-rise","https://pokeapi.co/api/v2/ability/10052/",""
"climber","https://pokeapi.co/api/v2/ability/10053/",""
"flame-boost","https://pokeapi.co/api/v2/ability/10054/",""
"aqua-boost","https://pokeapi.co/api/v2/ability/10055/",""
"run-up","https://pokeapi.co/api/v2/ability/10056/",""
"conqueror","https://pokeapi.co/api/v2/ability/10057/",""
"shackle","https://pokeapi.co/api/v2/ability/10058/",""
"decoy","https://pokeapi.co/api/v2/ability/10059/",""
"shield","https://pokeapi.co/api/v2/ability/10060/",""
